time;Azymut:;Kąt;Pitch:;Kąt;Roll:
179;-46.532;2.045;0.788
180;88.883;8.273;20.044
181;101.447;8.273;20.044
182;149.436;18.022;15.137
183;152.886;18.022;15.137
184;149.266;18.022;15.137
185;-108.07;7.164;-3.388
186;-103.134;7.164;-3.388
187;-38.957;-6.278;-2.585
188;-5.763;-2.326;5.611
189;-14.672;-2.326;5.611
190;-19.163;-2.326;5.611
191;53.364;-0.515;13.456
192;49.325;-0.515;13.456
193;-10.526;-5.415;5.075
194;-27.728;-2.121;3.257
195;-23.357;-2.121;3.257
196;-26.29;-2.121;3.257
197;76.746;1.07;30.234
198;78.077;1.854;29.242
199;85.892;1.854;29.242
200;92.178;4.151;24.895
201;88.887;4.151;24.895
202;118.112;9.158;16.978
203;156.419;9.158;16.978
204;141.163;2.429;14.946
205;-153.977;2.429;14.946
206;-115.334;3.178;6.559
207;-121.726;3.178;6.559
208;-102.501;2.862;-13.882
209;-108.562;2.862;-13.882
210;-96.836;-5.765;-11.597
211;-101.129;-5.765;-11.597
212;-104.563;-3.41;-11.826
213;-106.787;-3.41;-11.826
214;-96.137;-11.195;-24.263
215;-97.873;-11.195;-24.263
216;-103.041;-6.554;-19.871
217;-105.226;-6.554;-19.871
218;-85.483;-18.727;-7.259
219;-81.025;-18.727;-7.259
220;-67.095;-24.219;-4.063
221;-65.243;-24.219;-4.063
222;-66.368;-24.219;-4.063
223;-94.934;-12.337;-4.100
224;-96.826;-12.337;-4.100
225;-96.831;-12.538;0.100
226;-142.94;-5.594;10.861
227;-146.297;-5.594;10.861
228;-140.694;-5.594;10.861
229;-133.413;3.876;-1.252
230;-141.489;3.876;-1.252
231;163.953;3.088;21.657
232;-133.061;0.62;-3.868
233;-130.947;0.62;-3.868
234;-129.768;0.62;-3.868
235;-102.944;-13.66;4.898
236;-97.181;-13.66;4.898
237;-118.612;-5.648;-0.821
238;-132.696;-4.839;6.043
239;-133.583;-4.839;6.043
240;-130.834;-1.802;1.411
241;-125.339;-1.802;1.411
242;-108.05;-3.704;-12.100
243;-108.018;-3.704;-12.100
244;-100.498;-7.233;-30.276
245;-99.031;-7.233;-30.276
246;-107.096;4.553;-36.382
247;-104.744;4.553;-36.382
248;-116.238;11.696;-22.921
249;-109.354;11.696;-22.921
250;-125.185;21.952;-14.896
251;-123.942;21.952;-14.896
252;-158.89;21.031;7.764
253;-165.975;21.031;7.764
254;153.098;12.425;19.252
255;130.193;12.425;19.252
256;97.46;3.846;18.471
257;88.313;3.846;18.471
258;76.624;1.059;16.603
