time;Azymut:;K¹t Pitch:;K¹t Roll:
23.788;106.441;-57.734;-4.749
23.815;-40.962;-61.767;-12.582
23.816;-51.914;-61.767;-12.582
23.827;144.158;-57.022;-3.481
23.847;150.2;-49.757;4.443
23.864;144.621;-50.1;7.028
23.873;151.874;-50.1;7.028
23.883;133.49;-55.182;8.044
23.903;142.326;-53.334;7.363
23.923;155.51;-48.318;6.867
23.937;153.89;-48.318;6.867
23.943;122.919;-55.166;18.21
